SGL,Transect #,TransectMeterPlot,Genus,Species,Species common,Daubenmeyer,TransectLattitude ,TransectLongitude ,Heading,BurnDate,YearSinceBurn,CollectedDate,DateCollected,Time Category,Burn Unit,Days Since Burn,Notes,Cleaning notes
300,5,20m,Maianthemum,canadense,Canada mayflower,2,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,20m,Quercus,ilicifolia,scrub oak,1,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,20m,Kalmia,angustifolia,sheep laurel,1,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,5m,Kalmia,angustifolia,sheep laurel,4,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,5m,Vaccinium,angustifolium,lowbush blueberry,3,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,5m,Gaultheria,procumbens,teaberry,3,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,5m,Quercus,ilicifolia,scrub oak,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,10m,Vaccinium,angustifolium,lowbush blueberry,3,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,10m,Carex,pensylvanica,PA sedge,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,10m,Gaultheria,procumbens,teaberry,2,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,10m,Kalmia,angustifolia,sheep laurel,2,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,10m,Quercus,ilicifolia,scrub oak,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,15m,Vaccinium,angustifolium,lowbush blueberry,3,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,15m,Kalmia,angustifolia,sheep laurel,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,15m,Pinus,rigida,pitch pine,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,20m,Quercus,ilicifolia,scrub oak,2,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,20m,Vaccinium,angustifolium,lowbush blueberry,3,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,20m,Kalmia,angustifolia,sheep laurel,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,20m,Gaultheria,procumbens,teaberry,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,20m,Acer,rubrum,red maple,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,7,5m,Aronia,melanocarpa,black chokeberry,2,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-1,16,,
300,7,5m,Vaccinium,angustifolium,lowbush blueberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,5m,Kalmia,angustifolia,sheep laurel,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,5m,Gaultheria,procumbens,teaberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,5m,Gaylussacia,baccata,black huckleberry,3,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Aronia,melanocarpa,black chokeberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Gaultheria,procumbens,teaberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Kalmia,angustifolia,sheep laurel,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Vaccinium,angustifolium,lowbush blueberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Dendrolycopodium,obscurum,flat-branched tree clubmoss,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Gaylussacia,baccata,black huckleberry,3,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,15m,Aronia,melanocarpa,black chokeberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,15m,Kalmia,angustifolia,sheep laurel,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,15m,Vaccinium,angustifolium,lowbush blueberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,15m,Gaylussacia,baccata,black huckleberry,4,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,20m,Vaccinium,angustifolium,lowbush blueberry,2,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,20m,Aronia,melanocarpa,black chokeberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,20m,Gaylussacia,baccata,black huckleberry,3,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,5m,Gaultheria,procumbens,teaberry,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,5m,Vaccinium,angustifolium,lowbush blueberry,2,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,5m,Aronia,melanocarpa,black chokeberry,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,5m,Gaylussacia,baccata,black huckleberry,3,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,10m,Gaultheria,procumbens,teaberry,3,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,10m,Gaylussacia,baccata,black huckleberry,3,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,10m,Vaccinium,angustifolium,lowbush blueberry,3,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,10m,Kalmia,angustifolia,sheep laurel,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
