SGL,Transect #,TransectMeterPlot,Genus,Species,Species common,Daubenmeyer,TransectLattitude ,TransectLongitude ,Heading,BurnDate,YearSinceBurn,CollectedDate,DateCollected,Time Category,Burn Unit,Days Since Burn,Season,Notes,Cleaning notes
300,4,5m,Gaultheria,procumbens,teaberry,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,5m,Gaylussacia,baccata,black huckleberry,4,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,5m,Viburnum,nudum,wild raisin,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,5m,Vaccinium,angustifolium,lowbush blueberry,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,5m,Quercus,ilicifolia,scrub oak,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,5m,Carex,pensylvanica,PA sedge,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,10m,Kalmia,angustifolia,sheep laurel,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,10m,Gaylussacia,baccata,black huckleberry,4,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,10m,Gaultheria,procumbens,teaberry,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,10m,Carex,pensylvanica,PA sedge,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,10m,Vaccinium,angustifolium,lowbush blueberry,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,10m,Viburnum,nudum,wild raisin,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,15m,Vaccinium,angustifolium,lowbush blueberry,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,15m,Gaylussacia,baccata,black huckleberry,4,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,15m,Quercus,ilicifolia,scrub oak,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,15m,Gaultheria,procumbens,teaberry,3,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,15m,Carex,pensylvanica,PA sedge,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,15m,Kalmia,angustifolia,sheep laurel,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,20m,Kalmia,angustifolia,sheep laurel,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,20m,Gaultheria,procumbens,teaberry,3,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,20m,Viburnum,nudum,wild raisin,3,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
300,4,20m,Quercus,ilicifolia,scrub oak,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,Spring,,
